Occupation Title,Employment 2021,Employment 2031,"Employment Change, 2021-2031","Employment Percent Change, 2021-2031","Occupational Openings, 2021-2031 Annual Average",Median Annual Wage 2021,Typical Entry-Level Education,Work Experience in a Related Occupation,Typical on-the-job Training
Aerospace,58.8,62.4,3.7,6.3,3.8,122270,Bachelor's degree,None,None
Agricultural,1.2,1.2,0.0,1.5,0.1,82640,Bachelor's degree,None,None
Biomedical,17.9,19.7,1.7,9.8,1.2,97410,Bachelor's degree,None,None
Chemical,26.9,30.7,3.7,13.9,2.0,105550,Bachelor's degree,None,None
Civil,318.3,340.4,22.1,6.9,24.2,88050,Bachelor's degree,None,None
Electrical,192.4,195.5,3.1,1.6,12.3,100420,Bachelor's degree,None,None
Environmental,44.0,45.8,1.8,4.2,3.4,96820,Bachelor's degree,None,None
Industrial,301.0,331.6,30.6,10.2,22.4,95300,Bachelor's degree,None,None
Marine,7.6,7.9,0.3,4.4,0.4,93370,Bachelor's degree,None,None
Materials,22.1,23.4,1.3,6.1,1.7,98300,Bachelor's degree,None,None
Mechanical,284.9,291.3,6.4,2.2,17.9,95300,Bachelor's degree,None,None
Nuclear,13.9,12.4,-1.5,-11.1,0.7,120380,Bachelor's degree,None,None
Petroleum,22.8,24.6,1.9,8.3,1.7,130850,Bachelor's degree,None,None
